author_name,citation_count,h_index,document_count,scopus_author_id,scopus_indexed_name,scopus_affiliation_name,match_status,match_score,query_used,error_message,review_status
LINCOLN ELOI DE ARAUJO,60.0,4.0,22.0,57189051486.0,,Universidade Federal Rural de Pernambuco,matched,115.0,[last-only+afid] AUTHLAST(ARAUJO) AND AF-ID(60000958),,accepted
LUCIA MARIA GOES MOUTINHO,4.0,1.0,1.0,57190044485.0,,Universidade Federal Rural Rural de Pernambuco (UFRPE) E do,matched,70.0,[last+first-no-affil] AUTHLAST(MOUTINHO) AND AUTHFIRST(LUCIA),,accepted
LILIA GOMES WILLADINO,1186.0,18.0,68.0,6506714101.0,,Universidade Federal Rural de Pernambuco,matched,133.0,"AUTHLAST(WILLADINO) AND AUTHFIRST(LILIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
FERNANDO JOAQUIM FERREIRA MAIA,224.0,7.0,18.0,16307383600.0,,Universidade Federal Rural de Pernambuco,matched,110.0,[last-only+afid] AUTHLAST(MAIA) AND AF-ID(60000958),,accepted
JULIANO BANDEIRA LIMA,406.0,12.0,50.0,7006760024.0,,Universidade Federal Rural de Pernambuco,matched,115.0,[last-only+afid] AUTHLAST(LIMA) AND AF-ID(60000958),,accepted
ANTONIO NEVES DUARTE TEODORO,116.0,6.0,62.0,57216518285.0,,Universidade Lusófona,matched,80.0,[last+first-no-affil] AUTHLAST(TEODORO) AND AUTHFIRST(ANTONIO),,rejected
RUSSELL PARRY SCOTT,1083.0,18.0,42.0,56535741200.0,,Baylor College of Medicine,matched,84.0,[last+first-no-affil] AUTHLAST(SCOTT) AND AUTHFIRST(RUSSELL),,rejected
ERICA PIROS KOVACS,14.0,1.0,5.0,23990892200.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(KOVACS) AND AUTHFIRST(ERICA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
RONALDO OLIVERA CAVALLI,2731.0,23.0,79.0,35570086400.0,,Universidade Federal do Rio Grande,matched,73.0,"AUTHLAST(CAVALLI) AND AUTHFIRST(RONALDO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
DOMINGOS SAVIO PEREIRA SALAZAR,246.0,10.0,30.0,7006217911.0,,Universidade Federal Rural de Pernambuco,matched,131.0,"AUTHLAST(SALAZAR) AND AUTHFIRST(DOMINGOS) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
GILVAN PIO RIBEIRO,0.0,0.0,1.0,57208881596.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(RIBEIRO) AND AUTHFIRST(GILVAN) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
JULIA KUKLINSKY SOBRAL,79.0,3.0,4.0,56675611800.0,,Universidade Federal do Agreste de Pernambuco,matched,70.0,"AUTHLAST(SOBRAL) AND AUTHFIRST(JULIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
FERNANDO LEANDRO DOS SANTOS,2.0,1.0,1.0,59410718500.0,,Universidade Federal Rural de Pernambuco,matched,118.0,"AUTHLAST(SANTOS) AND AUTHFIRST(FERNANDO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
AURELIO PAES BARROS JUNIOR,976.0,15.0,150.0,34972721000.0,,Universidade Federal Rural do Semi-Árido,matched,45.0,"AUTHLAST(JUNIOR) AND AUTHFIRST(AURELIO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
MARIA DAS DORES SARAIVA DE LORETO,206.0,7.0,12.0,36902725400.0,,Hospital of National Relevance “A. Cardarelli”,matched,71.0,[last+first-no-affil] AUTHLAST(LORETO) AND AUTHFIRST(MARIA),,rejected
SONIA MARIA ALVES DE OLIVEIRA,11.0,1.0,2.0,57214600396.0,,Universidade Federal Rural de Pernambuco,matched,118.0,"AUTHLAST(OLIVEIRA) AND AUTHFIRST(SONIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
PAULO DE PAULA MENDES,86.0,6.0,10.0,15923215600.0,,Universidade Federal Rural de Pernambuco,matched,130.0,"AUTHLAST(MENDES) AND AUTHFIRST(PAULO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
